usernames,tweets,date_and_time,responders,tweet_replies,Responder_time_responder
Putra72292526,Kalau satu saja cukup..ngapain harus dua...,4/13/19 12:45,hairymssge,Wa aja bos,4/21/19 9:38
dimaz_gaza,"Boss, baru skrg ssya hrs sedikit tegas. Kalo anda hny urusan pilpres gini menyebabkan Brain Disorder Complex, artinya hati anda terkontaminasi penyakit TBC. Emosi anda lebih dominan drpd nalar. Boss hal ibadah siapapun boleh koreksi selama itu benar.",4/9/19 16:50,Piala96676876,"Kalo macem laopan topeng beragama @ustadtengkuzul lu buat standart mending ente blajar akidah dulu deh ,ingus",4/9/19 16:27
paslagipedekate,"Orang yang ngajak kenalan abis itu ngilang maksudnya apaan ya? Udah kenalan tapi ngilang, nah pas ketemu kaya orang gak kenal terus tujuan kenalan buat apaan WOIIII",4/3/19 7:52,poswok,Cuma singgah aja,4/4/19 4:37
Raditakia,"Yg bikin heran,pengikutnya kok ya ngiyain gitu aja lhooo...",4/5/19 14:42,jiiviiw,Menandakan bahwa gk semua pengguna smatphone itu smart yah mas ,4/5/19 23:10
Yessyhernaa,"Kalau dikasi gaji 35 juta sebulan pun, Jangan sampe deh dijakarta. Sesak nafas sama macetnya. Pekanbaru paling perfect udah:)",4/1/19 5:20,hengky_ponorogo,gile gede juga gajinya,4/1/19 8:35
perwira_romawi,Sampai saat ini belum menonton episode apapun dari Game of Thrones season terbaru. Saatnya menonton.,4/29/19 9:31,lelegurame,Mz ntn oke torrent ato ap ?,4/29/19 23:14
arifinpribadi,"Real Count 62% menang dengan data C1 per kemarin 40% , sisanya data apa yg diinput ? ",4/25/19 16:13,enny_endah,Data togel,4/25/19 16:30
svsxic,Gini banget anjir kos sendirian wkwkwkwkw lantai 4 cma gw doang,4/23/19 16:42,baywirr,Kerja apasik?,4/23/19 17:08
ditiyaa_,"Selain tempat sambat, kini twitter digunakan untuk tempat hiburan. Bagi yang kesepian. Eh. ",4/21/19 12:19,banggacool1,Gawe twitter 2018 KEMLINTI,4/22/19 7:13
cavieq,"Aku sing paling rakuat iku ndelok koncoku seng tak kenal kok yo melu halu. Antara ancene ketularan halu opo ancene sadar bahwa dia bagian dari strategi dan menjalankannya.  Rakuat aku.  Rakuat, gregeten dewe",4/19/19 13:25,cavieq,Aku kudu piye iki.  Sedih...,4/19/19 15:46
FitryWulantariC,Lelaaaaaaaaaaah,4/15/19 9:06,denskuy_,Tired ;),4/15/19 9:08
cavieq,"Aku sing paling rakuat iku ndelok koncoku seng tak kenal kok yo melu halu. Antara ancene ketularan halu opo ancene sadar bahwa dia bagian dari strategi dan menjalankannya.  Rakuat aku.  Rakuat, gregeten dewe",4/19/19 13:25,cavieq,Aku kudu piye iki.  Sedih...,4/19/19 15:46
mrchristwibowo,"Itu gaji kan? Kalau sumbangan, setoran, pemberian, okeocehan, recehan, rekanan, sahaman, dan lain akhiran lainnya boleh gak?",4/13/19 12:20,indahhmu,Ada yg tersungging ,4/21/19 9:38
inasinam,"Bener,  kalau ngga lihat situasinya sih emang keren iklannya€ Tapi,  gegara terpapar segala macem,  di kepala cuman : halah!",4/9/19 15:20,lawraresti,"Iih sama bgt nih, visualny sih ok tp kayak ""kosong"" gt gak sih rasanya.",4/10/19 7:10
awkentot,"Uda dah, career loe done kek sobat loe waktu ntu.",4/3/19 6:55,jjelybelly,waduhhh,4/3/19 6:57
devinovitash,Ada yg pernah ketiban motor 2 kali dalam waktu kurang lebih 10menit ?! Pengalaman yg luar biasaa ,4/5/19 11:06,megisober,Satu lagi bisa dapat mangkok itu mbahehe,4/5/19 23:10
YuniKartika73,Koreksi: partai yg ditayangkan hari kamis adalah partai perdelapan final atau 16 besar. Terimakasih,4/1/19 4:31,Intanivogeltha,"Kalo ""partai"" yg ditayangkan tanggal 17 kayaknya bakal lebih seru, hehehe",4/1/19 4:58
angginoen,"Kalau kalian diselamati ulang tahun di grup WA, bales ucapan terimakasihnya di-mention satu-satu ke yg ngucapin atau secara umum? Kalau satu-satu dikira ngabsen siapa yg blm ngucapin, kl secara umum dikira nggak personal balas kasihnya.",4/29/19 9:16,nagihizdihar,Bales satu2 tapi japri,4/29/19 23:14
inved_77,Ilmu lu gak sebanding sama yg lu katain sampah...,4/25/19 9:37,sugaalamzir,Nggak level ya...,4/26/19 7:23
auliakbarh,"Sabtu test akhir, minggu ini project akhir. Semangat!",4/23/19 15:52,trigiantoro,Mangat Bang Aul ,4/23/19 16:02
bhismano,Ini masih gk yaa saya grebek nih deket kos saya ini,4/21/19 11:28,cebongkoleps,Datang bang ikut pantau ....,4/21/19 11:35
MerryCristianw,Setuju secepatnya harus dibasmi manusia yg seperti ini di kasih makan tikus got biar pintar dikit otaknya,4/19/19 13:20,SiNiel1,Hiiiiy ,4/19/19 16:09
OneStopUnited,Dokumenter yang dibuat oleh orang yang jelas sikap politiknya mah mana pernah _„ƒnetral_„_. Mau liat dokumenter netral mah tinggal buka National Geograpic ato Discovery Channel. Mangkanya gue bilang _„ƒSerangan Fajar_„_ ,4/15/19 9:04,OneStopUnited,"Yang udah nonton dokumenter onoh, bisa baca ini buat buka wawasan lebih",4/15/19 9:18
MerryCristianw,Setuju secepatnya harus dibasmi manusia yg seperti ini di kasih makan tikus got biar pintar dikit otaknya,4/19/19 13:20,SiNiel1,Hiiiiy ,4/19/19 16:09
UchihaSomadi,"Siapapun presidennya harapanku tetep sama, semoga kau dan aku segera menjadi kita .",4/13/19 8:58,_maharanigita,"Siapapun presidennya harapanku tetep sama, semoga kau dan aku tetap bersama sampai ""benar-benar"" bersama",4/21/19 9:38
RockersPantura,"Andai gw yg ada dalam jumpa pers itu, gw akan kasih pertanyaan "" jika kasus ini menimpa putri kalian,  apakah akan diselesaikan secara kekeluargaan?"". Anda bicara masa depan pelaku tapÍè tdk memikirkan kondisi korban..dampak terbesar adlh rusaknya psikologi jg masa depan korban.",4/9/19 11:57,sawo_busuk,Hajar kang....anak2 remaja jg harus belajar bertanggung jawab,4/9/19 20:00
gitaauliyagita,Woy cowok! Selama-lamanya cewek kalo lagi make-up. Lebih lama lagi kalo nungguin cowoknya pas kumpul di basecamp! GAK SUKA AING TUH KAMPRET!,4/3/19 6:42,intanorii,Dah dibilang masi kecil gabole pacaran,4/3/19 6:57
deyang,"Jangan sombong kalian !!! Karena kalian bukan orang2 yg bersyukur bisa menikmati perang yg cuma kata2. Jangan khufur pada nikmat udara setelah reformasi, Ini demokrasi, tapi jangan singgung luka orang2 yg sekarang bisa kita nikmati bersama. (Sialan gue marah banget)",4/5/19 7:56,Gunartowahid1,Hadiuh sabar mbkyu..sabar subur,4/5/19 8:00
RustamIbrahim,"Jangan dengkilah! Presiden Jokowi memberi bbrp kartu utk kesejahteraan rakyat kecil. Orang kaya punya puluhan kartu, mulai kartu kredit, kartu ATM, kartu asuransi kesehatan, kartu makan di restoran mahal, kartu nginap di hotel mewah etc. Apa mau mrk hanya diganti satu e-ktp? ",4/1/19 2:09,Itang_Makatita,kalau saja mau berfikir,4/1/19 2:16
sigitwid,"Setuju ibukota dipindah ke luar Jawa. Tapi kalau masih mempertimbangkan Jawa, bagaimana kalau di Baturraden aja? Enak loh, adem. ",4/29/19 9:10,agusdragerhil,Mungkin jangan ke P.Raya,4/29/19 15:41
IrfanRiansyahhh,"Jangan terlalu polos, dia terlalu berengsek untukmu.",4/25/19 9:24,anshlhti,ahsyiaap,4/26/19 7:23
morinoriko,Feeling mamah.. lala promote ke team T,4/23/19 10:55,sukinaraba,Hiya hiya hiya.. Udah pasti sihwkwk,4/23/19 16:02
Christofel_ID,Foto copyan lagi diedit,4/21/19 11:02,Cinta_Iam,Yg curang buka borok sendiri. #KalauBersihKenapaTakut,4/21/19 11:15
lenizabet80gma1,AstaghfirullahÄ Ya Allah ampunilah hamba hamba mu ini... Sadarkan lah mereka ya Allah.. Aamiin,4/19/19 11:57,rich146754,"Slama dikelilingi jidat2 gosong, celana cingkrang, ulama abal2-pemaki2 & sengkuni, makin jauh dr (maaf) kewarasan..Tunggu RC dr KPU, ikuti disini :",4/19/19 22:22
geminimanja90,gw habis minum rhinos sr.... kok begini ya rasanya  malah deg deg kan gt,4/15/19 8:54,acipanser,"cocok-cocokan. aku kalo rinos, semaleman malahan gak bisa tidur, seger banget, kan sebel.",4/15/19 9:18
lenizabet80gma1,Astaghfirullah...Ya Allah ampunilah hamba hamba mu ini... Sadarkan lah mereka ya Allah.. Aamiin,4/19/19 11:57,rich146754,"Slama dikelilingi jidat2 gosong, celana cingkrang, ulama abal2-pemaki2 & sengkuni, makin jauh dr (maaf) kewarasan..Tunggu RC dr KPU, ikuti disini :",4/19/19 22:22
OddieOctaviadi,"Sandi ini cocok jadi walikota JakSel. English campur2 Bahasanya so relevant gitu ke penduduk JakSel, I think. But, yah menurut aku it is all up to masyarakat around here ya, which is so peduli dengan politik of this country.",4/13/19 8:23,deelestari,,4/13/19 8:26
lahirsesar,Netizen nya aja yg GOBLOK. Orang kek gitu dikasih panggung. Mending dikasih oplosan mba,4/9/19 10:50,lahirsesar,#JusticeForAudrey,4/9/19 10:51
indriemld,"Di angkot, ada dua org ngomongin gua pake bahasa sunda.. Dikira gua ga ngerti kali ",4/3/19 6:17,Bubukrang9inang,Ngomongin kumaha ceunah? Jigana getek nya ,4/3/19 6:57
deyang,"Kali ini gue beneran emosi. Kalian ngga paham bagaimana untuk sampai pada situasi seperti sekarang butuh ribuan orang yg tiba2 desanya tenggelam, yg tiba2 hilang karena setiap kerusuhan pasti ada mobil sampah yg otomatis penghancur serta canon air pemadam yg membersihkan darah",4/5/19 7:54,deyang,"Jangan sombong kalian !!! Karena kalian bukan orang2 yg bersyukur bisa menikmati perang yg cuma kata2. Jangan khufur pada nikmat udara setelah reformasi, Ini demokrasi, tapi jangan singgung luka orang2 yg sekarang bisa kita nikmati bersama. (Sialan gue marah banget)",4/5/19 7:56
Suharno41747558,"Saya tetap semangat terus, Jadi Badut, Sulap. Buat menghibur anak2 , semoga Job  Saya  ramai terus...... Amin.",4/1/19 0:46,haiikaa,Aamiinn ya robbal alamin.. Semoga Bapak sehat terus dan selalu dilancarkan job nya,4/1/19 0:48
cil_cillaa,Kalo dia liat ig storymu pliss jangan GE ER !! dia cuma kepencetttttt !!!!  Ehee€,4/29/19 8:26,ratihhdyn,Pantesan,4/29/19 15:41
daranasution_,"My phone just knew. Btw, ku gak siap di-bully fansnya Kak Uki :(",4/25/19 9:19,kaisar_hirohito,Ga jago selfie nih ,4/25/19 9:21
fajaralam9,Kalah dan marah,4/23/19 9:42,johhhnygudhel,Nah ini ,4/23/19 19:32
yunitadesiyanti,"aku ceritainnya besok ajayaa, kalian jangan ada yang penasaran dulu :') malam ini kalian tidur nyenyak dulu aja. good night ",4/21/19 9:51,yunitadesiyanti,aku kerja dulu ya gengssss  semoga nanti istirahat ku bisa cerita  maafkan lohh. ud buat kalian semua penasaran ,4/21/19 11:15
Taula_,Pentil gatal diemut setan apa ya,4/19/19 11:54,family1000000,Dijilat soket??????,4/19/19 22:22
altefalken,Ini apaan dah seksi killer seksi peler? Kaum menengah bloon pada kebakaran jenggot karna gaya idupnya bikin kerusakan lingkungan?,4/15/19 8:32,altefalken,"sekarang kalo mo fer fer ajalah: emang lo mau pake listrik dari. nuklir? biodiesel? surya? emang berani? emang mau? KAGAAAK,lo pengennya listrik murah! :)) nah sekarang kerasa kan kalo rasa keadilanlo ga sinkron ama kebutuhan perut dan isi domepet?",4/15/19 9:18
Taula_,Pentil gatal diemut setan apa ya,4/19/19 11:54,family1000000,Dijilat soket??????,4/19/19 22:22
y0ungkey,"Sling Bag , Backpack , dan Tottebag. PO setiap tanggal 15 dan 30. Pengiriman Ekspedisi JNE. Domisili Cilegon,Banten",4/13/19 8:15,Izzazha,EEE INI LU YG BUKA MIL?? WKWKW,4/13/19 8:26
musniumar,Ramai sekali perdebatan Razman Nasution vs Haikal dan Ferdinand Hutahean di ILC TV ONE. Maaf bung Razman jubir Jokowi-Ma'ruf anda malam ini tdk berkelas dan berteman krn menyerang Prabowo. Pd hal Prabowo tdk pernah menyindir apalagi menyerang Jokowi. Mengapa anda menyerang ibunya,4/9/19 9:28,eighball8,Jokowi sdh dari 2012 di serang personal nya oleh barisan kubu wowo seperti bokapnya @ItsRR dan sekarang @prabowo baru merasakan seperti pendukungnya panik ,4/9/19 10:51
gitaauliyagita,Belum ada yang minta promot twiter ya,4/3/19 6:15,rezkynjhl34,jangan sampe. itu tradisi kaum ig,4/3/19 6:57
deyang,"Kali ini gue marah banget... ngga usahlah menghina dina orang2 yg pada masanya mengalami cekaman ketakutan dan berharap generasi seperti kalian hidup dalam alam demokrasi yang jauh lebih nyaman. Bahkan kalian bisa ngebacot sekenanya tanpa takut di petrus, tanpa takut hilang",4/5/19 7:51,deyang,"Kali ini gue beneran emosi. Kalian ngga paham bagaimana untuk sampai pada situasi seperti sekarang butuh ribuan orang yg tiba2 desanya tenggelam, yg tiba2 hilang karena setiap kerusuhan pasti ada mobil sampah yg otomatis penghancur serta canon air pemadam yg membersihkan darah",4/5/19 7:56
dhanimahiisa,Belajar pintar naik kendaraan umum ya gaes!,3/31/19 22:25,aditian_,kekmana itu kak? ajarin aku dong kak..,4/1/19 0:48
nrizkip,"hujan malam malam, seketika semua pikiranku melambung ke sebuah kota lamaku. yogyakarta - sebuah curhatan kerinduan akan suasana jogja.",4/29/19 7:46,nrizkip,"yang paling paling adalah angsong, angkringan gosong. tempat favorit dikala suka maupun duka. dikala awal bulan maupun akhir bulan. ketika rapat beneran atau mendadak rapat. mau nugas atau cuma numpang duduk. oke, kita bahas angsong aja lah. menarik",4/29/19 15:41
mdablo1,Jamu kuaaaat..jamu kuaat mas,4/25/19 9:07,bengkeldodo,Kuat blessssss,4/25/19 10:04
paslagipedekate,Aku sebenarnya suka kamu tapi kamu nya gak tau dan gak akan mau tau.,4/23/19 9:07,naraaban,yauda maap,4/23/19 19:32
ayieazhars,Kira-kiri lu bisa bikin gini ga? _„î ngeliatin reference dari beeple crab _„î ,4/21/19 9:03,ayieazhars,Lu bisa pegang kamera juga ga? _„î- ,4/21/19 9:09
wasiswaseso,"Setinggi""nya ilmu kalo ga beradab ya sama aja sampah bro,kalo di pesantren"" didikannya dahulukan adab daripada ilmu",4/19/19 9:54,TheBrandols,"Ilmu agama boleh tinggi, tapi AHLAKnya ga ada buat apa. Nabi diutus utk menyempurnakan ahlak.",4/19/19 15:33
raihanuljinan1,"Setiap mau nyerah, selalu inget tujuan dan alasan memulai.",4/15/19 8:00,dndardhzny,Keep spirit woff heuhe,4/15/19 9:18
wasiswaseso,"Setinggi""nya ilmu kalo ga beradab ya sama aja sampah bro,kalo di pesantren"" didikannya dahulukan adab daripada ilmu",4/19/19 9:54,TheBrandols,"Ilmu agama boleh tinggi, tapi AHLAKnya ga ada buat apa. Nabi diutus utk menyempurnakan ahlak.",4/19/19 15:33
IndraAziz,"Tak ingin menyalahkan, tapi ingin cari solusi. <-- You de best lah.",4/13/19 8:14,ononggg,dan selalu optimis tentunya ,4/13/19 8:16
donzoI,"Pusing kerjaan, pusing liat sosial media, pusing liat copras capres. Tapi tetap tidak pakai narkoba. Tepuk tangan untuk saya.",4/9/19 8:53,oetomo__,tepuk tangan,4/9/19 9:00
paslagipedekate,"Kemarin-kemarin minjem hp bapa buat selfie gak kenapa-kenapa, ehh barusan minjem malah dimarahin katanya fotonya jelek bikin penuh memori bapa aja. OK pa aku gpp :))",4/3/19 5:58,bacotinorangg,"Anjiirrr ngakak gua. Gokil""",4/3/19 6:57
deyang,Untuk kamu yang ngga pernah tau rasanya susahnya ngajak dokter yg akhirnya harus bermalam di atmajaya jaitin luka2 mahasiswa yg robek kena peluru karetÄ Untuk kamu yang ga tau rasanya jadi orang tua yg kehilangan anak.,4/5/19 7:49,deyang,"Kali ini gue marah banget... ngga usahlah menghina dina orang2 yg pada masanya mengalami cekaman ketakutan dan berharap generasi seperti kalian hidup dalam alam demokrasi yang jauh lebih nyaman. Bahkan kalian bisa ngebacot sekenanya tanpa takut di petrus, tanpa takut hilang",4/5/19 7:56
harskyamsyahh,singkawang jadi rasis ya grgr fpi boleh kau pilih prabowo tp jgn kau bawa sara buat brainwashing org org yg polos,3/31/19 21:18,cakekeca,info dri manaa? moliat dung,4/1/19 0:48
mrsbirama,Tunggu pembalasankuuuuuu !!!!!!,4/29/19 7:33,RudyRoedyanto,Ampun mbak President ,4/29/19 15:41
IndraAziz,"Jaman sekarang, sesuatu yang baik, benar, tertib, bagus itu seringkali jadi membosankan. Malahan yang spontan, asal2an, gampang, receh, seringkali dianggap lebih menarik.",4/25/19 8:51,IndraAziz,"Kadang konten video yang dibuat dgn ""baik dan benar"", pakai alat yg bagus, skripnya dipikir matang2, take berulang2 sampai perfect, dll, kalah dengan video HP spontan. Yang ""real"" lebih bisa relate dengan audiens.",4/25/19 8:51
awkentot,"Assalamualaikum, ada yang bisa diajak Zinah? Penutupan sayang",4/23/19 8:52,waldo_girijati,wadow,4/23/19 19:32
icykids,"Ikut SBMPTN 2 kali ga keterima, ikut tes mandiri 2kali di dua kampus berbeda juga ga keterima. Akhirnya pilih swasta. Banyak diremehin orang, dianggep omong doang gede, eh tau taunya dapet beasiswa ke jepang selama setahun.",4/21/19 7:19,icykids,"Dapet beasiswanya juga ga sekali coba dapet. Ngikut dua kali. They said that I_„_m a dreamer. Tapi dengan konsisten dan pantang menyerah, kalo mau apa aja sebenernya bisa.",4/21/19 7:20
peaaenjeii,"berhubung gue ga doyan susu, jadi cereal nua gue cemilin aja ",4/19/19 9:35,tbemove,Masa ga doyan susu mas?,4/19/19 15:33
sugito43334255,Insha Allah 17 April 2019 dianggap di dalam & luar negeri utk Indonesia menang ,4/15/19 7:30,SChalid3,Alhamdulillah..............! Allahu Akbar......!,4/15/19 9:18
peaaenjeii,"berhubung gue ga doyan susu, jadi cereal nua gue cemilin aja ",4/19/19 9:35,tbemove,Masa ga doyan susu mas?,4/19/19 15:33
kucingkubanyak,Sudah kubilang dari debat ketiga . Pak prabs dan pak password ini bertolak belakang visi nya terhadap modernisasi dan teknologi (yg paling nyata pandangan mereka ke revolusi industri 4.0 di debat capres I dan debat cawapres),4/13/19 7:52,rarashan2,masaaa mungkin pergaulan andah kurang luas,4/13/19 9:44
altefalken,Udah ada yang bawa bawa relasi kuasa ga neh?,4/9/19 8:29,ynr__,Da pha neh?,4/9/19 9:00
FaisalBasri,"Di masa lalu, lelang kapal dimenangkan oleh pemilik kapal.",4/3/19 5:57,Agim_Subegjo,Kembali ke masa lalu?,4/3/19 6:20
deyang,Untuk kamu yg ga pernah tau rasanya menyembunyikan kawan dirumah setelah itu raib tak tentu rimbanya (wiji tukul). Untuk kamu yang ngga tau rasanya anak balitamu nangis2 karena kehabisan susu dan semua toko dijarah ...,4/5/19 7:47,deyang,Untuk kamu yang ngga pernah tau rasanya susahnya ngajak dokter yg akhirnya harus bermalam di atmajaya jaitin luka2 mahasiswa yg robek kena peluru karetÄ Untuk kamu yang ga tau rasanya jadi orang tua yg kehilangan anak.,4/5/19 7:56
RustamIbrahim,"Inflasi bulan Maret hanya 0,11%. Artinya harga2 kebutuhan pokok relatif stabil.",3/31/19 21:10,Noval297519461,Semangat mbah Rustam,3/31/19 21:43
babysyaaaaaaaaa,Astaga ibu-ibu itu ngira aku umur 15 tahun. Katanya muka ku ga cocok sama umur ku sekarang 19 tahun,4/29/19 7:30,anasadani11,emang bener,4/29/19 7:43
kucingkubanyak,"1 jam pertama yang agak ""ok"" dibalas 1 jam kedua yang uplifting , dihajar 1 jam yang terakhir huhuhuuu astaga nangis darah aku bahagia dan sedih bercampurr ",4/25/19 7:38,yuyukanggahol,"Tapi dari awal film tuh atmosfir nya udh sendu,mellow :( sedih",4/25/19 16:51
wahyupatrajaya_,"Hah ? Lagi ngomong pankreas dalam perut menjadikan...tiba tiba bel, lgsg bubar gitu muridnya? Hmmmmmm. Duluan ya pak hahaha",4/23/19 8:41,fibrya_,Yup. Bener. Langsung pada bubar seakan‘_ ga ada guru di dalam kelas  itu udah kultur di sekolah sih. Jadi gurunya pun juga ga tersinggung. Tapi ya..,4/23/19 19:32
aMrazing,MU kalah wkwkwkwkwk,4/21/19 7:07,Tiararette,Aku bobo nyenyak malam ini ,4/21/19 7:08
garis_luruss,Inilah rakyat yg dungu yg  sebagian meng agungkan infrastruktur jalan. Sementara infrastruktur moral nya ambrol gk di bangun,4/19/19 9:29,alexjanuari,"Mungkin itu yg dimaksud mereka... ""Revolusi Mental""...Mental yg bermoral busuk...!!!",4/19/19 9:59
putribanten_,"Kayaknya liat orang gampang banget dapet jodoh , masyaAllah",4/19/19 9:29,Fitramstrong,Kamu jodohnya mana kamu? ,4/15/19 9:18
garis_luruss,Inilah rakyat yg dungu yg  sebagian meng agungkan infrastruktur jalan. Sementara infrastruktur moral nya ambrol gk di bangun,4/19/19 9:29,alexjanuari,"Mungkin itu yg dimaksud mereka... ""Revolusi Mental""€ Mental yg bermoral busuk...!!!",4/19/19 9:59
karinyoo,Kalo pendapatan masih rendah dan dibawah nilai PTKP ya ga dipotong pajak bambaaank,4/13/19 7:44,13thsunflower,Mungkin masnya gapernah terima gaji ga pernah lapor pajak jadi gatau perhitungan pajak penghasilan atau antara gamau tau tapi pengen ngomong ajaa ,4/13/19 9:44
Ekocahyono_,"Untuk siapapun yg pernah merasa tersakiti oleh perbuatan atau ucapanku, aku hanya bisa mohon maaf atas kekhilafan itu.  ",4/9/19 8:00,adimakim,Gue maapin tapi beliin serum TBS dlu ,4/9/19 9:00
RustamIbrahim,"2 minggu jelang Pilpres, berita2 bohong, hoax, , plintiran, pemutarbalikan fakta, adu domba, akan meningkat. Firehose of the falsehood, semburan api kebohongan akan semakin membara. Jgn mudah percaya ""berita"", terutama di WA & medsos. Cek dgn media2 yang terdaftar di Dewan Pers",4/3/19 5:43,cahyadi03081270,"apalgi sama jokowi y..yg tukang ngibul,klaim n revisi doa bareng calo jual beli jabatan..kocak dah lu ..dasr botak",4/3/19 6:07
deyang,"untuk kamu yg ga pernah antar sahabat naik bis di (lhok seumawe aceh) lalu paginya kamu baca koran sabatmu pecah dengkul kaki dan kepalanya robek (di medan), Untuk kamu yang ngga pernah ngerasain seperti ibu2 si depok yg makan sisa pinggiran roti dari pabrik roti",4/5/19 7:45,deyang,Untuk kamu yg ga pernah tau rasanya menyembunyikan kawan dirumah setelah itu raib tak tentu rimbanya (wiji tukul). Untuk kamu yang ngga tau rasanya anak balitamu nangis2 karena kehabisan susu dan semua toko dijarah Ä,4/5/19 7:56
t0h1d,P U L A N G,3/31/19 20:28,hidayatwahyu11,Ga mau,3/31/19 21:43
reno_2,"bentuk TIM investigasi DPR dan Polisi, Bawaslu ada yg meninggal juga mau saja di bodohi oknum rezim penjahat dagelan , kematian tidak wajar sd 386 orang meninggal dan 1870 sakit aneh ?",4/29/19 6:26,arwidodo,Aneh. #TPFKecuranganPemiluUrgent,4/29/19 8:10
btari_durga,Kita tuh nggak punya Hari Sex Sedunia gitu ya guys?,4/23/19 8:35,madrepuckre,Bukannya tiap weekend ya? Kayak otomatis gt,4/23/19 17:52
diesonne1901,Gw skrg bener2 mengerti knp Allah panggil Uje sangat cepat. ,4/21/19 6:49,felix19300663,#SaveTaulany emang nya napa mbak ?? #SaveErinTaulany,4/21/19 8:40
Nuelsitanggang,"Wadaw rame. Keypoint dari twit gw adalah: - Klean alumni kampus terkenal, nggak immune terhadap ignorance. Tetap belajar dan pelihara humility. - Kalo di forum nggak ada yang bantah bacotan u, belom tentu u bener. Bisa aja udah pada eneg ga mau respon.",4/19/19 8:45,Berly09297415,"Bisa jadi mereka org"" sprti sya yg menikmati kebodohan org lain  ampuni hamba...",4/19/19 9:07
inasinam,"Mungkin perlu nanya lbh dalem,  pendapatannya banyakan pembantu apa ente? *kalo liat pp nya sih *sinyalilang. ",4/15/19 5:55,GAB_Wisnu,Makjlebbb ,4/15/19 6:05
Nuelsitanggang,"Wadaw rame. Keypoint dari twit gw adalah: Klean alumni kampus terkenal, nggak immune terhadap ignorance. Tetap belajar dan pelihara humility. Kalo di forum nggak ada yang bantah bacotan u, belom tentu u bener. Bisa aja udah pada eneg ga mau respon.",4/19/19 8:45,Berly09297415,"Bisa jadi mereka org"" sprti sya yg menikmati kebodohan org lain  ampuni hamba...",4/19/19 9:07
nikkoilham,Dah eneg sama pilpres pilpresan. Buruan kelar dah ayoklah.,4/13/19 7:22,sagitanr_,yash dah eneg liat pendukung saling menjatuhkan.,4/13/19 9:44
morinoriko,10 detik yang membuat kita akrab.. Tanpa melihat latar belakang pendukung paslon 01 atau 02..,4/9/19 7:33,albertus_surya,Link,4/9/19 8:09
RustamIbrahim,"Hasil Survei terkini! Roy Morgan Australia. Jokowi 56,5% - Prabowo 43,5%. Litbang Kompas (Hasil Ekstrapolasi). Jokowi 56,8% - Prabowo 43,2%. Optimis!!!",4/3/19 4:54,MasRoy59944836,Yes pak barisan optimis terus bergerak maju biarkan yg oleng tenggelam di Tenggelamkan. Prabowok Sandi. 17 april kita putihkan. #KapalOlengJendral,4/3/19 5:02
mdaffaditya,Ini mbaknya hm karena hmm... atau mau beralih ke h&m?,4/5/19 7:43,jooniverzs,Hahaha,4/5/19 7:48
motulz,"Yang digaris bawahi itu adalah proses pembersihannya. Dulu itu Singapore kotor sekali warganya sembarangan buang sampah. Makanya edukasinya dgn denda, meludah pun kena denda. Edukasi masyarakat itu penting, walau butuh waktu krn mengubah perilaku.",3/31/19 20:27,Mikrolet,"Indonesia punya banyak aturan, tapi sedikit penegakan.",3/31/19 21:52
fahiraidris,"16. Demikian thread sy ttg ""Analisis Beban Kerja KPPS Harus Jadi Prioritas Gelaran Pemilu"" Sekian dan Terima Kasih. Wassalammualaikum.wr.wb",4/29/19 5:55,NTriandana,"Kalau ada kekeliruan yg diketahui saat rekap di kecamatan, anggota KPPS dipanggil seperti tersangka uni. Padahal bukan kesengajaan. Gimana nggak stress.",4/29/19 8:10
mbahndi,Psikiater berpengalaman pasti bisa melihat perbedaan mood pasien yang mengalami depresi dengan yang psikotik. Pengen tahu caranya? Jadi Psikiater deh ,4/25/19 7:13,ndahcawen,"Pengennya dok, tapi, aku dari keperawatan. Meski gak bisa jadi psikiater,aku ambil S2 keperawatan jiwa. Biar bisa sedikit lebih mengerti, kondisi psikis seseorang. Semoga lancar proses masuknya dok, doakan yah.",4/25/19 7:33
harskyamsyahh,pulang atau ganti hp? Ya ganti hp la hahaha,4/23/19 8:22,irfanfebriann,Kamu di lahirkan di kota ini nak,4/23/19 17:52
peaaenjeii,ramen enak nih ! pedes anget berkuah makannya sampe ngabisin tissue karna ingusan ,4/21/19 5:37,MOKALICIOUZ,oh mungkin itu ya alesan kenapa di kamar cowo juga banyak tisu,4/21/19 8:40
unilubis,"Nampaknya sulit. Level petinggi2 timses masih nyebar meme dan video kreasi kemenangan serta forward2 lelucon2 tentang lawan. Memang semangatnya masih ""perang"". Lain di mulut lain di hati. Kami media yg kudu menahan diri",4/19/19 8:01,sociotalker,iya kayak anak kecil yg menang perang2an. permainan udah selesai tapi masih saling ngeledek.,4/19/19 8:07
ariftivity,"Informasi terbaru yang saya dapat, 9 hari denis (Denissa biasa dipanggil) di rawat di mayapada, pembiayaan telah mencapai angka 63jt",4/15/19 5:46,adriansbgs,"Mantap alhamdulillah, terus diinfo perkembangannya ya mang!",4/15/19 6:05
unilubis,"Nampaknya sulit. Level petinggi2 timses masih nyebar meme dan video kreasi kemenangan serta forward2 lelucon2 tentang lawan. Memang semangatnya masih ""perang"". Lain di mulut lain di hati. Kami media yg kudu menahan diri",4/19/19 8:01,sociotalker,iya kayak anak kecil yg menang perang2an. permainan udah selesai tapi masih saling ngeledek.,4/19/19 8:07
